Muestra	Contig	Start	End	Feature	Conteo	Numero_bases_cubiertas	Longitud_del_gen	Fraccion_cubierta
barcode01_DS_3.8GB	contig_2700	2889	3387	vanXY gene in vanG cluster_glycopeptide_antibiotic	4	498	498	1.0000000
barcode01_DS_3.8GB	contig_2784	21529	22789	EreB_macrolide_antibiotic	8	1260	1260	1.0000000
barcode01_DS_3.8GB	contig_28	3254	4094	sul1_sulfonamide_antibiotic	190	840	840	1.0000000
barcode01_DS_3.8GB	contig_28	4087	4435	qacEdelta1_disinfecting_agents_and_antiseptics	167	348	348	1.0000000
barcode01_DS_3.8GB	contig_28	4602	5100	AAC(6')-Ib-cr4_fluoroquinolone_antibiotic;_aminoglycoside_antibiotic	60	498	498	1.0000000
barcode01_DS_3.8GB	contig_28	5253	5661	arr-3_rifamycin_antibiotic	53	408	408	1.0000000
barcode01_DS_3.8GB	contig_28	29866	30751	mphE_macrolide_antibiotic	102	885	885	1.0000000
barcode01_DS_3.8GB	contig_28	30806	32282	msrE_macrolide_antibiotic;_streptogramin_antibiotic	85	1476	1476	1.0000000
barcode01_DS_3.8GB	contig_28	36136	36973	APH(6)-Id_aminoglycoside_antibiotic	34	837	837	1.0000000
barcode01_DS_3.8GB	contig_28	36972	37776	APH(3'')-Ib_aminoglycoside_antibiotic	28	804	804	1.0000000
barcode01_DS_3.8GB	contig_28	42565	43381	APH(3')-Ia_aminoglycoside_antibiotic	7	816	816	1.0000000
barcode01_DS_3.8GB	contig_28	46229	47444	floR_phenicol_antibiotic	17	1215	1215	1.0000000
barcode01_DS_3.8GB	contig_2809	1229	1688	AAC(6')-Il_aminoglycoside_antibiotic	34	459	459	1.0000000
barcode01_DS_3.8GB	contig_2862	1415	2186	LnuH_lincosamide_antibiotic	23	771	771	1.0000000
barcode01_DS_3.8GB	contig_2882	7163	8195	ArnT_peptide_antibiotic	6	1032	1032	1.0000000
barcode01_DS_3.8GB	contig_2882	11711	12695	PmrF_peptide_antibiotic	15	984	984	1.0000000
barcode01_DS_3.8GB	contig_2905	5923	6604	vanY gene in vanB cluster_glycopeptide_antibiotic	17	681	681	1.0000000
barcode01_DS_3.8GB	contig_296	197104	200218	acrD_aminoglycoside_antibiotic	88	3114	3114	1.0000000
barcode01_DS_3.8GB	contig_3002	58080	59181	vanG_glycopeptide_antibiotic	110	1101	1101	1.0000000
barcode01_DS_3.8GB	contig_3021	4382	5795	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics_cephalosporin;_cephamycin;_penam	11	1413	1413	1.0000000
barcode01_DS_3.8GB	contig_319	6803	7541	ErmB_macrolide_antibiotic;_lincosamide_antibiotic;_streptogramin_antibiotic;_streptogramin_A_antibiotic;_streptogramin_B_antibiotic	40	738	738	1.0000000
barcode01_DS_3.8GB	contig_3202	52467	52662	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	37	195	195	1.0000000
barcode01_DS_3.8GB	contig_3202	81629	82268	CRP_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	32	639	639	1.0000000
barcode01_DS_3.8GB	contig_3379	2307	3960	ArnT_peptide_antibiotic	13	1653	1653	1.0000000
barcode01_DS_3.8GB	contig_3379	53863	57019	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	23	3156	3156	1.0000000
barcode01_DS_3.8GB	contig_3404	17567	18290	baeR_aminoglycoside_antibiotic;_aminocoumarin_antibiotic	17	723	723	1.0000000
barcode01_DS_3.8GB	contig_352	20807	22067	EreB_macrolide_antibiotic	15	1260	1260	1.0000000
barcode01_DS_3.8GB	contig_3535	8881	9556	vanW gene in vanI cluster_glycopeptide_antibiotic	3	675	675	1.0000000
barcode01_DS_3.8GB	contig_3712	22427	22829	FosA8_phosphonic_acid_antibiotic	16	402	402	1.0000000
barcode01_DS_3.8GB	contig_3713	57812	58145	qacG_disinfecting_agents_and_antiseptics	10	333	333	1.0000000
barcode01_DS_3.8GB	contig_3749	30218	33761	evgS_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam;_tetracycline_antibiotic	6	3543	3543	1.0000000
barcode01_DS_3.8GB	contig_3749	34953	36009	emrK_tetracycline_antibiotic	7	1056	1056	1.0000000
barcode01_DS_3.8GB	contig_3749	36008	37547	emrY_tetracycline_antibiotic	9	1539	1539	1.0000000
barcode01_DS_3.8GB	contig_3797	1614	2454	sul1_sulfonamide_antibiotic	91	840	840	1.0000000
barcode01_DS_3.8GB	contig_3797	2447	2795	qacEdelta1_disinfecting_agents_and_antiseptics	90	348	348	1.0000000
barcode01_DS_3.8GB	contig_3822	12123	12951	OXA-253_carbapenem;_penam	33	828	828	1.0000000
barcode01_DS_3.8GB	contig_3957	34319	35504	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	22	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_4103	47874	48525	Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	7	651	651	1.0000000
barcode01_DS_3.8GB	contig_413	484385	484766	marA_fluoroquinolone_antibiotic;_monobactam;_carbapenem;_cephalosporin;_glycylcycline;_cephamycin;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_penem;_disinfecting_agents_and_antiseptics	77	381	381	1.0000000
barcode01_DS_3.8GB	contig_413	484786	485221	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	70	435	435	1.0000000
barcode01_DS_3.8GB	contig_4153	3686	4154	vanW gene in vanG cluster_glycopeptide_antibiotic	4	468	468	1.0000000
barcode01_DS_3.8GB	contig_4247	40329	40854	SAT-2_nucleoside_antibiotic	111	525	525	1.0000000
barcode01_DS_3.8GB	contig_4247	40911	41700	aadA_aminoglycoside_antibiotic	127	789	789	1.0000000
barcode01_DS_3.8GB	contig_4289	4052	4547	dfrF_diaminopyrimidine_antibiotic	11	495	495	1.0000000
barcode01_DS_3.8GB	contig_4342	10232	10961	gadW_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	5	729	729	1.0000000
barcode01_DS_3.8GB	contig_4342	11328	12153	gadX_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	7	825	825	1.0000000
barcode01_DS_3.8GB	contig_4447	17589	20736	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	20	3147	3147	1.0000000
barcode01_DS_3.8GB	contig_4493	4483	4669	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	11	186	186	1.0000000
barcode01_DS_3.8GB	contig_462	277947	278145	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	22	198	198	1.0000000
barcode01_DS_3.8GB	contig_4628	910	2527	vanW gene in vanI cluster_glycopeptide_antibiotic	11	1617	1617	1.0000000
barcode01_DS_3.8GB	contig_468	55644	56829	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	22	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_468	78495	79680	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	25	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_4748	38732	39365	CRP_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	12	633	633	1.0000000
barcode01_DS_3.8GB	contig_4779	6928	7999	vanH gene in vanO cluster_glycopeptide_antibiotic	6	1071	1071	1.0000000
barcode01_DS_3.8GB	contig_4814	627	1455	OXA-253_carbapenem;_penam	30	828	828	1.0000000
barcode01_DS_3.8GB	contig_493	70948	72133	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	26	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_493	89210	90395	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	35	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_497	936	2127	tet(C)_tetracycline_antibiotic	102	1191	1191	1.0000000
barcode01_DS_3.8GB	contig_5043	29256	29640	marA_fluoroquinolone_antibiotic;_monobactam;_carbapenem;_cephalosporin;_glycylcycline;_cephamycin;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_penem;_disinfecting_agents_and_antiseptics	4	384	384	1.0000000
barcode01_DS_3.8GB	contig_5052	24403	24589	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	8	186	186	1.0000000
barcode01_DS_3.8GB	contig_5052	29637	30939	Klebsiella pneumoniae KpnH_macrolide_antibiotic;_fluoroquinolone_antibiotic;_aminoglycoside_antibiotic;_carbapenem;_cephalosporin;_penam;_peptide_antibiotic;_penem	4	1302	1302	1.0000000
barcode01_DS_3.8GB	contig_5052	30955	32128	emrA_fluoroquinolone_antibiotic	5	1173	1173	1.0000000
barcode01_DS_3.8GB	contig_5052	32254	32785	emrR_fluoroquinolone_antibiotic	4	531	531	1.0000000
barcode01_DS_3.8GB	contig_5058	1262	1499	FosA8_phosphonic_acid_antibiotic	10	237	237	1.0000000
barcode01_DS_3.8GB	contig_5058	1452	1692	FosA8_phosphonic_acid_antibiotic	10	240	240	1.0000000
barcode01_DS_3.8GB	contig_5140	7988	9203	tet(Y)_tetracycline_antibiotic	10	1215	1215	1.0000000
barcode01_DS_3.8GB	contig_5173	83309	83957	Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	12	648	648	1.0000000
barcode01_DS_3.8GB	contig_5295	2335	3503	tet(X3)_glycylcycline;_tetracycline_antibiotic	6	1168	1168	1.0000000
barcode01_DS_3.8GB	contig_5302	32992	33487	nimJ_nitroimidazole_antibiotic	11	495	495	1.0000000
barcode01_DS_3.8GB	contig_5387	21806	24023	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	13	2217	2217	1.0000000
barcode01_DS_3.8GB	contig_5387	24981	26157	oqxA_fluoroquinolone_antibiotic;_glycylcycline;_tetracycline_antibiotic;_diaminopyrimidine_antibiotic;_nitrofuran_antibiotic	10	1176	1176	1.0000000
barcode01_DS_3.8GB	contig_542	20518	21916	Escherichia coli UhpT with mutation conferring resistance to fosfomycin_phosphonic_acid_antibiotic	155	1398	1398	1.0000000
barcode01_DS_3.8GB	contig_542	187500	188685	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	160	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_542	293349	293676	Escherichia coli soxS with mutation conferring antibiotic resistance_fluoroquinolone_antibiotic;_monobactam;_carbapenem;_cephalosporin;_glycylcycline;_cephamycin;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_penem;_disinfecting_agents_and_antiseptics	142	327	327	1.0000000
barcode01_DS_3.8GB	contig_542	360703	361849	ACT-29_carbapenem;_cephalosporin;_cephamycin;_penam	114	1146	1146	1.0000000
barcode01_DS_3.8GB	contig_543	4444	5206	OXA-464_penam	7	762	762	1.0000000
barcode01_DS_3.8GB	contig_5539	12453	13059	CRP_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	7	606	606	1.0000000
barcode01_DS_3.8GB	contig_5694	29152	29956	lnuB_lincosamide_antibiotic	39	804	804	1.0000000
barcode01_DS_3.8GB	contig_579	10047	10440	Klebsiella pneumoniae KpnE_macrolide_antibiotic;_aminoglycoside_antibiotic;_cephalosporin;_tetracycline_antibiotic;_peptide_antibiotic;_rifamycin_antibiotic;_disinfecting_agents_and_antiseptics	40	393	393	1.0000000
barcode01_DS_3.8GB	contig_579	10426	10756	Klebsiella pneumoniae KpnF_macrolide_antibiotic;_aminoglycoside_antibiotic;_cephalosporin;_tetracycline_antibiotic;_peptide_antibiotic;_rifamycin_antibiotic;_disinfecting_agents_and_antiseptics	40	330	330	1.0000000
barcode01_DS_3.8GB	contig_586	11447	12638	tet(C)_tetracycline_antibiotic	71	1191	1191	1.0000000
barcode01_DS_3.8GB	contig_5923	4969	7318	LptD_carbapenem;_peptide_antibiotic;_aminocoumarin_antibiotic;_rifamycin_antibiotic	10	2349	2349	1.0000000
barcode01_DS_3.8GB	contig_6067	710	3761	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	9	3051	3051	1.0000000
barcode01_DS_3.8GB	contig_6092	2457	3357	VEB-9_monobactam;_cephalosporin	12	900	900	1.0000000
barcode01_DS_3.8GB	contig_6168	17827	18607	aadA2_aminoglycoside_antibiotic	23	780	780	1.0000000
barcode01_DS_3.8GB	contig_6168	19005	19806	OXA-10_cephalosporin;_penam	22	801	801	1.0000000
barcode01_DS_3.8GB	contig_6207	39091	40483	Escherichia coli UhpT with mutation conferring resistance to fosfomycin_phosphonic_acid_antibiotic	16	1392	1392	1.0000000
barcode01_DS_3.8GB	contig_6223	11668	12853	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	13	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_6261	38207	38552	qacG_disinfecting_agents_and_antiseptics	11	345	345	1.0000000
barcode01_DS_3.8GB	contig_6273	7079	8009	tet(M)_tetracycline_antibiotic	8	930	930	1.0000000
barcode01_DS_3.8GB	contig_631	16763	19916	oqxB_fluoroquinolone_antibiotic;_glycylcycline;_tetracycline_antibiotic;_diaminopyrimidine_antibiotic;_nitrofuran_antibiotic	85	3153	3153	1.0000000
barcode01_DS_3.8GB	contig_631	19939	21115	oqxA_fluoroquinolone_antibiotic;_glycylcycline;_tetracycline_antibiotic;_diaminopyrimidine_antibiotic;_nitrofuran_antibiotic	89	1176	1176	1.0000000
barcode01_DS_3.8GB	contig_631	122295	124044	msbA_nitroimidazole_antibiotic	76	1749	1749	1.0000000
barcode01_DS_3.8GB	contig_631	225788	227021	Escherichia coli mdfA_tetracycline_antibiotic;_disinfecting_agents_and_antiseptics	91	1233	1233	1.0000000
barcode01_DS_3.8GB	contig_631	589409	590603	Escherichia coli acrA_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	125	1194	1194	1.0000000
barcode01_DS_3.8GB	contig_631	590625	593772	acrB_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	113	3147	3147	1.0000000
barcode01_DS_3.8GB	contig_6388	445	1630	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	23	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_6413	5482	5935	vanY gene in vanB cluster_glycopeptide_antibiotic	8	453	453	1.0000000
barcode01_DS_3.8GB	contig_6457	344	878	ANT(2'')-Ia_aminoglycoside_antibiotic	13	534	534	1.0000000
barcode01_DS_3.8GB	contig_6457	2041	3301	cmlA5_phenicol_antibiotic	30	1260	1260	1.0000000
barcode01_DS_3.8GB	contig_6457	3515	4154	AAC(6')-Ib9_aminoglycoside_antibiotic	15	639	639	1.0000000
barcode01_DS_3.8GB	contig_6473	1785	2574	OXA-488_penam	5	789	789	1.0000000
barcode01_DS_3.8GB	contig_6483	1	682	aadA_aminoglycoside_antibiotic	22	681	681	1.0000000
barcode01_DS_3.8GB	contig_6483	778	1999	EreA_macrolide_antibiotic	11	1221	1221	1.0000000
barcode01_DS_3.8GB	contig_6595	3608	3959	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	15	351	351	1.0000000
barcode01_DS_3.8GB	contig_6662	5312	5882	vanW gene in vanG cluster_glycopeptide_antibiotic	13	570	570	1.0000000
barcode01_DS_3.8GB	contig_673	43449	43698	vanW gene in vanG cluster_glycopeptide_antibiotic	12	249	249	1.0000000
barcode01_DS_3.8GB	contig_6756	2396	2801	vanY gene in vanB cluster_glycopeptide_antibiotic	3	405	405	1.0000000
barcode01_DS_3.8GB	contig_723	75631	76453	bacA_peptide_antibiotic	148	822	822	1.0000000
barcode01_DS_3.8GB	contig_7296	11683	12178	lnuC_lincosamide_antibiotic	31	495	495	1.0000000
barcode01_DS_3.8GB	contig_73	3218	5924	Salmonella isangi gyrA conferring resistance to fluoroquinolones_fluoroquinolone_antibiotic	9	2706	2706	1.0000000
barcode01_DS_3.8GB	contig_7303	9894	10863	PmrF_peptide_antibiotic	7	969	969	1.0000000
barcode01_DS_3.8GB	contig_7303	13733	15386	ArnT_peptide_antibiotic	8	1653	1653	1.0000000
barcode01_DS_3.8GB	contig_7324	25120	25375	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	22	255	255	1.0000000
barcode01_DS_3.8GB	contig_7422	8800	10000	tet(A)_tetracycline_antibiotic	14	1200	1200	1.0000000
barcode01_DS_3.8GB	contig_7523	6187	9304	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	6	3117	3117	1.0000000
barcode01_DS_3.8GB	contig_7524	11989	13654	msbA_nitroimidazole_antibiotic	7	1665	1665	1.0000000
barcode01_DS_3.8GB	contig_7532	12683	13868	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	10	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_788	6765	7647	KPC-2_monobactam;_carbapenem;_cephalosporin;_penam	206	882	882	1.0000000
barcode01_DS_3.8GB	contig_8106	20503	21736	Escherichia coli mdfA_tetracycline_antibiotic;_disinfecting_agents_and_antiseptics	7	1233	1233	1.0000000
barcode01_DS_3.8GB	contig_8128	838	1783	leuO_nucleoside_antibiotic;_disinfecting_agents_and_antiseptics	7	945	945	1.0000000
barcode01_DS_3.8GB	contig_8492	8074	8605	emrR_fluoroquinolone_antibiotic	4	531	531	1.0000000
barcode01_DS_3.8GB	contig_8503	5888	6821	vanW gene in vanG cluster_glycopeptide_antibiotic	4	933	933	1.0000000
barcode01_DS_3.8GB	contig_8519	5700	7110	Klebsiella pneumoniae KpnH_macrolide_antibiotic;_fluoroquinolone_antibiotic;_aminoglycoside_antibiotic;_carbapenem;_cephalosporin;_penam;_peptide_antibiotic;_penem	12	1410	1410	1.0000000
barcode01_DS_3.8GB	contig_8519	7255	8428	Klebsiella pneumoniae KpnG_macrolide_antibiotic;_fluoroquinolone_antibiotic;_aminoglycoside_antibiotic;_carbapenem;_cephalosporin;_penam;_peptide_antibiotic;_penem	8	1173	1173	1.0000000
barcode01_DS_3.8GB	contig_8519	8553	9084	emrR_fluoroquinolone_antibiotic	6	531	531	1.0000000
