Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/695/625/GCF_001695625.1_genomic.fna.gz	0.1105	0.0963	99.01	1.408	98.94-99.08	1.139	1.10-1.18	2	1.879	12339/24268	97.84	79	NZ_MBPN01000099.1 Pseudomonas defluvii strain WCHP16 NODE_100_length_18139_cov_42.7491, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/786/155/GCA_902786155.1_genomic.fna.gz	0.1085	0.0467	95.26	1.382	95.04-95.47	1.119	1.02-1.25	2	2.730	1831/12090	94.09	3758	CADABC010000001.1 MAG: uncultured Lachnospiraceae bacterium isolate RUG13138 genome assembly, contig: RUG13138_asm_1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/016/525/GCF_000016525.1_genomic.fna.gz	0.0897	0.0256	98.77	1.143	98.62-98.90	0.925	0.86-0.98	1	1.507	3264/7834	97.22	10	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/813/325/GCF_000813325.1_genomic.fna.gz	0.0894	0.0390	98.94	1.139	98.83-99.07	0.922	0.87-0.97	1	1.689	4926/11201	97.38	0	NZ_BBQE01000027.1 Sulfurospirillum cavolei NBRC 109482, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	0.0856	0.0367	99.42	1.090	99.31-99.53	0.883	0.83-0.92	1	1.570	5903/11892	97.77	1	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/762/015/GCA_900762015.1_genomic.fna.gz	0.0844	0.0248	98.81	1.075	98.65-98.99	0.870	0.80-0.93	1	1.697	3408/8379	97.14	3	CAAFEX010000001.1 MAG TPA_asm: uncultured Collinsella sp., isolate HGM04134, WGS project CAAFEX010000000 data, contig: SRS1170693_53_k141_1798, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/312/505/GCA_001312505.1_genomic.fna.gz	0.0835	0.0420	98.62	1.063	98.45-98.74	0.861	0.81-0.92	1	1.695	5317/13972	96.93	788	BBDW01000001.1 [Ruminococcus] faecis JCM 15917 DNA, contig: JCM15917.contig00001, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/907/163/125/GCF_907163125.1_genomic.fna.gz	0.0833	0.0383	97.92	1.061	97.76-98.07	0.859	0.80-0.92	1	1.619	3769/12364	96.24	10	NZ_OU015319.1 Cloacibacterium caeni isolate Isolate1 chromosome 000000F_arrow
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/287/405/GCF_003287405.1_genomic.fna.gz	0.0822	0.0384	98.91	1.046	98.79-99.05	0.847	0.79-0.90	1	1.858	5356/12932	97.20	159	NZ_PRLD01000040.1 Faecalibacterium prausnitzii strain APC923/51-1 NODE_109_length_3421_cov_1544.05, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/324/185/GCF_003324185.1_genomic.fna.gz	0.0800	0.0374	97.52	1.020	97.35-97.67	0.825	0.78-0.89	1	1.673	3433/13101	95.77	2669	NZ_PXUP01000075.1 Faecalibacterium prausnitzii strain ATCC 27768 NODE_100_length_572_cov_365.695, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/014/805/GCF_000014805.1_genomic.fna.gz	0.0770	0.0564	97.62	0.981	97.50-97.74	0.794	0.75-0.84	1	1.486	5824/20208	96.07	1385	NC_008570.1 Aeromonas hydrophila subsp. hydrophila ATCC 7966, complete sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/958/454/115/GCA_958454115.1_genomic.fna.gz	0.0735	0.0282	97.33	0.937	97.14-97.49	0.758	0.69-0.83	1	1.611	2490/10656	95.42	2966	CAUEAK010000001.1 MAG TPA_asm: Blautia wexlerae isolate SRR18940294_bin.27_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18683078.73, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/406/815/GCF_001406815.1_genomic.fna.gz	0.0729	0.0375	99.24	0.929	99.10-99.41	0.752	0.70-0.79	1	1.648	6089/14285	97.29	78	NZ_CVRR01000001.1 Roseburia faecis strain M72, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/716/905/GCF_006716905.1_genomic.fna.gz	0.0726	0.0521	98.41	0.925	98.27-98.53	0.749	0.71-0.78	1	1.470	6030/18486	96.45	42	NZ_VFPV01000001.1 Acidovorax temperans strain DSM 7270 Ga0242573_11, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/023/065/GCF_000023065.1_genomic.fna.gz	0.0720	0.0385	97.87	0.917	97.70-98.02	0.742	0.70-0.79	1	1.509	4252/14578	96.10	719	NC_012691.1 Tolumonas auensis DSM 9187, complete sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/394/085/GCF_013394085.1_genomic.fna.gz	0.0714	0.0208	99.35	0.910	99.18-99.53	0.736	0.69-0.79	1	1.390	3324/7697	97.33	1	NZ_CP040910.1 Limosilactobacillus fermentum strain DSM 20052 chromosome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/147/765/GCF_025147765.1_genomic.fna.gz	0.0648	0.0365	99.18	0.826	99.05-99.30	0.669	0.63-0.71	1	1.610	5860/15190	96.97	250	NZ_CP102265.1 Blautia obeum ATCC 29174 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/860/565/GCF_003860565.1_genomic.fna.gz	0.0648	0.0276	95.96	0.825	95.68-96.23	0.668	0.59-0.73	1	1.463	1623/11754	93.81	1838	NZ_CP034157.1 Cloacibacterium normanense strain NRS-1 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/687/245/GCF_020687245.1_genomic.fna.gz	0.0644	0.0294	98.37	0.821	98.22-98.53	0.664	0.63-0.70	1	1.621	3810/12801	96.17	1030	NZ_JAJEQG010000010.1 Faecalibacterium longum CLA-AA-H243 NODE_10_length_77401_cov_21.251280, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/307/025/GCF_000307025.1_genomic.fna.gz	0.0618	0.0281	99.82	0.788	99.67-99.99	0.637	0.59-0.67	1	1.477	5677/12543	97.48	1	NC_018584.1 Listeria monocytogenes ATCC 19117, complete sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/602/955/GCA_001602955.1_genomic.fna.gz	0.0614	0.0257	96.61	0.782	96.37-96.84	0.633	0.57-0.69	1	1.433	1918/11725	94.33	2409	LVAC01000001.1 MAG: Campylobacterales bacterium Epsilon_01 _contig_12173, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/368/785/GCF_000368785.1_genomic.fna.gz	0.0614	0.0279	98.58	0.782	98.41-98.74	0.633	0.58-0.67	1	1.525	3846/12213	96.34	290	NZ_KB849660.1 Acinetobacter towneri DSM 14962 = CIP 107472 acMad-supercont1.1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/024/925/GCF_029024925.1_genomic.fna.gz	0.0600	0.0265	98.89	0.764	98.73-99.03	0.619	0.58-0.66	1	1.440	4064/12259	96.50	15	NZ_CP118962.1 Enterococcus faecalis strain DSM 20478 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/004/000/625/GCA_004000625.1_genomic.fna.gz	0.0596	0.0232	99.11	0.759	98.92-99.29	0.615	0.58-0.66	1	1.392	3822/10810	96.70	4	SAUS01000023.1 MAG: Candidatus Cibiobacter qucibialis isolate SGB15286A NODE_1001_length_34658_cov_24.6781, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/611/475/GCF_003611475.1_genomic.fna.gz	0.0591	0.0374	98.39	0.753	98.21-98.53	0.609	0.57-0.65	1	1.447	5321/17588	96.22	1024	NZ_RAXT01000001.1 Acinetobacter rongchengensis strain WCHAc060115 1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/009/494/835/GCF_009494835.1_genomic.fna.gz	0.0583	0.0322	97.42	0.743	97.23-97.64	0.602	0.55-0.65	1	1.532	3172/15250	95.06	1038	NZ_VZBE01000073.1 Segatella copri strain iAP1412 NODE_10_length_90835_cov_37.9181_ID_19, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/544/645/GCA_900544645.1_genomic.fna.gz	0.0574	0.0172	97.19	0.732	96.88-97.49	0.592	0.53-0.66	1	1.447	1590/8462	94.75	1520	UQWG01000001.1 uncultured Collinsella sp. isolate UMGS701 genome assembly, contig: NODE_5_length_107846_cov_15.780863, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/306/155/GCF_014306155.1_genomic.fna.gz	0.0569	0.0204	98.66	0.725	98.45-98.85	0.587	0.54-0.63	1	1.484	2915/9798	96.16	72	NZ_JACRWH010000001.1 Holdemanella hominis strain L34 G9_D3_34_ctg0001, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/167/555/GCF_900167555.1_genomic.fna.gz	0.0562	0.0281	98.63	0.716	98.44-98.78	0.579	0.54-0.62	1	1.401	3915/13412	96.11	357	NZ_FUYF01000092.1 Gemmiger formicilis strain ATCC 27749, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/059/485/GCA_018059485.1_genomic.fna.gz	0.0552	0.0140	95.41	0.703	94.93-95.93	0.569	0.47-0.68	1	1.761	832/7094	93.32	106	JAGOXX010000179.1 MAG: Aeromonadaceae bacterium isolate Gw_Inlet_bin_31 Gw_Inlet_100738_length_3081_cov_18.182126, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/024/460/475/GCF_024460475.1_genomic.fna.gz	0.0541	0.0201	96.02	0.689	95.77-96.37	0.558	0.49-0.62	1	1.432	1274/10295	93.48	1743	NZ_JANFYN010000001.1 Holdemanella sp. MSK.7.32 KGGEEPME_1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/567/265/GCF_025567265.1_genomic.fna.gz	0.0539	0.0284	98.43	0.687	98.21-98.61	0.556	0.51-0.59	1	1.370	3888/14630	95.82	959	NZ_JAOQJW010000001.1 Dorea amylophila strain H5_25 .14207_7_37.1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/347/235/GCF_023347235.1_genomic.fna.gz	0.0534	0.0266	95.91	0.680	95.66-96.20	0.550	0.49-0.59	1	1.448	1588/13454	93.34	3814	NZ_CP094467.1 Faecalibacterium sp. I4-1-79 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/150/245/GCF_025150245.1_genomic.fna.gz	0.0529	0.0260	99.03	0.673	98.88-99.18	0.545	0.51-0.58	1	1.538	4254/13409	96.36	449	NZ_CP102279.1 Dorea formicigenerans strain ATCC 27755 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/347/255/GCF_023347255.1_genomic.fna.gz	0.0522	0.0251	97.72	0.665	97.49-97.95	0.538	0.49-0.58	1	1.340	2679/12942	95.05	1265	NZ_CP094466.1 Faecalibacterium sp. I4-3-84 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/011/064/845/GCF_011064845.1_genomic.fna.gz	0.0522	0.0399	99.16	0.665	99.05-99.29	0.538	0.51-0.56	1	1.374	6961/21343	96.45	259	NZ_CP049015.1 Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681 strain ATCC 8090 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/461/955/GCF_003461955.1_genomic.fna.gz	0.0520	0.0298	98.42	0.662	98.23-98.63	0.536	0.49-0.57	1	1.339	4121/16005	95.72	1553	NZ_QTYB01000001.1 Ruminococcus sp. AM36-2AA AM36-2AA.Scaf1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/729/765/GCF_001729765.1_genomic.fna.gz	0.0519	0.0394	98.84	0.661	98.71-98.97	0.535	0.51-0.56	1	1.315	6307/20876	96.21	1302	NZ_CP017181.1 Enterobacter kobei strain DSM 13645 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/434/475/GCA_000434475.1_genomic.fna.gz	0.0516	0.0174	98.23	0.657	98.01-98.46	0.532	0.48-0.57	1	1.321	2218/9186	95.52	16	FR879452.1 Dialister sp. CAG:486 genomic scaffold, scf10, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/010/669/225/GCF_010669225.1_genomic.fna.gz	0.0514	0.0204	98.81	0.655	98.67-99.01	0.530	0.49-0.56	1	1.304	3121/10793	96.08	3	NZ_CP048627.1 Megamonas funiformis strain JCM 14723 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/196/555/GCF_000196555.1_genomic.fna.gz	0.0509	0.0187	99.21	0.648	99.04-99.44	0.525	0.48-0.55	1	1.299	3247/9990	96.44	2	NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	0.0508	0.0388	98.80	0.647	98.68-98.96	0.524	0.49-0.55	1	1.331	6063/21226	96.04	511	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/762/325/GCA_900762325.1_genomic.fna.gz	0.0502	0.0164	96.24	0.640	95.93-96.59	0.518	0.44-0.57	1	1.536	1154/9207	93.52	2381	CAAFGG010000001.1 MAG TPA_asm: uncultured Collinsella sp., isolate HGM04203, WGS project CAAFGG010000000 data, contig: SRS1170850_15_k141_614, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/149/785/GCF_025149785.1_genomic.fna.gz	0.0497	0.0259	98.22	0.633	98.01-98.41	0.512	0.47-0.54	1	1.318	3345/14318	95.42	1186	NZ_CP102277.1 Coprococcus comes ATCC 27758 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/052/705/GCA_018052705.1_genomic.fna.gz	0.0490	0.0164	99.22	0.624	99.04-99.42	0.505	0.47-0.54	1	1.323	2926/9233	96.36	2	JAGPMW010000024.1 MAG: Selenomonas sp. isolate Gw_UH_bin_41 Gw_UH_1000_length_31867_cov_8.188847, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/494/085/GCA_902494085.1_genomic.fna.gz	0.0487	0.0093	95.99	0.621	95.45-96.58	0.502	0.41-0.62	1	1.363	604/5346	93.21	1251	CABURU010000001.1 MAG TPA_asm: uncultured Collinsella sp. isolate MGYG-HGUT-04318 genome assembly, contig: GUT_GENOME266284_1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/741/455/GCF_000741455.1_genomic.fna.gz	0.0487	0.0168	98.78	0.620	98.60-99.05	0.502	0.45-0.53	1	1.289	2640/9603	95.92	68	NZ_JGZT01000001.1 Bifidobacterium thermacidophilum subsp. thermacidophilum strain LMG 21395 Contig1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/031/316/495/GCA_031316495.1_genomic.fna.gz	0.0486	0.0302	100.00	0.619	99.98-100.25	0.501	0.48-0.52	1	1.302	7149/17152	97.22	3	VKQE01000095.1 Bacillus subtilis subsp. spizizenii ATCC 6633 = JCM 2499 strain ATCC 6633 ILM2_2018AF10_6633_contig_100_consensus, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/959/020/145/GCF_959020145.1_genomic.fna.gz	0.0474	0.0144	97.18	0.604	96.80-97.47	0.489	0.43-0.55	1	1.360	1381/8511	94.30	2275	NZ_CAUEQY010000001.1 MAG: uncultured Bifidobacterium sp. isolate ERR10149223_bin.5_MetaWRAP_v1.3_MAG ERZ19076452.18, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/820/225/GCF_000820225.1_genomic.fna.gz	0.0474	0.0330	97.20	0.604	97.00-97.37	0.489	0.45-0.52	1	1.301	3431/19501	94.55	1272	NZ_CDDK01000001.1 Aeromonas veronii bv. veronii strain CECT 4257, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/958/369/755/GCA_958369755.1_genomic.fna.gz	0.0468	0.0141	98.33	0.597	97.97-98.60	0.483	0.43-0.54	1	1.329	1921/8297	95.39	4	CATXJC010000001.1 MAG TPA_asm: uncultured Prevotella sp. isolate SRR17382079_bin.3_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18707905.24, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	0.0467	0.0399	99.05	0.595	98.92-99.19	0.481	0.46-0.50	1	1.369	6969/23841	96.11	311	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/461/245/GCF_003461245.1_genomic.fna.gz	0.0450	0.0281	98.99	0.574	98.83-99.15	0.464	0.44-0.49	1	1.508	4786/17210	95.96	996	NZ_QTWS01000001.1 Blautia sp. AF19-10LB AF19-10LB.Scaf1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/687/435/GCF_020687435.1_genomic.fna.gz	0.0446	0.0239	96.98	0.569	96.74-97.25	0.460	0.41-0.50	1	1.356	2162/14878	93.97	2951	NZ_JAJEQQ010000010.1 Blautia sp. CLA-AA-H217 NODE_10_length_118329_cov_31.248562, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/599/715/GCF_016599715.1_genomic.fna.gz	0.0442	0.0243	98.70	0.564	98.48-98.92	0.456	0.42-0.49	1	1.236	4364/14471	96.21	230	NZ_CP067019.1 Acinetobacter sp. CS-2 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/165/255/GCF_002165255.2_genomic.fna.gz	0.0442	0.0211	98.34	0.563	98.04-98.64	0.456	0.41-0.50	1	1.409	3019/12874	95.43	511	NZ_CP028561.1 Acinetobacter sp. WCHA45 chromosome, complete genome
