Contig_name	barcode01_MA_DS9_Crowfoot.fastq	barcode02_MA_DS9_Crowfoot.fastq	barcode03_MA_DS9_Crowfoot.fastq	barcode04_MA_DS9_Crowfoot.fastq	barcode05_MA_DS9_Crowfoot.fastq	barcode06_MA_DS9_Crowfoot.fastq	barcode07_MA_DS9_Crowfoot.fastq	barcode09_MA_DS9_Crowfoot.fastq	barcode10_MA_DS9_Crowfoot.fastq	barcode11_MA_DS9_Crowfoot.fastq	barcode12_MA_DS9_Crowfoot.fastq	barcode13_MA_DS9_Crowfoot.fastq	barcode18_1405Gb.fastq	barcode19_1405Gb.fastq	barcode20_1405Gb.fastq	barcode21_1405Gb.fastq	barcode22_1405Gb.fastq	barcode23_1405Gb.fastq	barcode24_1405Gb.fastq	barcode01_final_combined.fastq	barcode02_final_combined.fastq	barcode03_final_combined.fastq	barcode04_final_combined.fastq	barcode05_final_combined.fastq	barcode06_final_combined.fastq	barcode07_final_combined.fastq	barcode08_final_combined.fastq	barcode09_final_combined.fastq	barcode10_final_combined.fastq	barcode11_final_combined.fastq	barcode12_final_combined.fastq	barcode13_final_combined.fastq	barcode14_final_combined.fastq	17_set_barcode01.fastq	17_set_barcode02.fastq	17_set_barcode03.fastq	17_set_barcode04.fastq	17_set_barcode05.fastq	17_set_barcode06.fastq	17_set_barcode07.fastq	17_set_barcode08.fastq	17_set_barcode09.fastq
NZ_CP032286.1 Acinetobacter sp. WCHA55 chromosome, complete genome	23545	25992	21026	25845	22940	24156	22509	23371	9401	21911	8664	0	0	0	35349	148399	143679	133205	10428	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	0	0	0	0	14361	21314	0	0
NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	25612	25814	22237	28327	29114	25815	25391	14403	6654	10481	11841	157435	955	407508	135304	52743	44816	45323	3580	4084	3311	2642	3220	21430	11309	10476	11083	3300	3599	3638	5840	267153	0	13746	3399	3155	30558	17601	34942	7356	146546	0
NZ_KB849660.1 Acinetobacter towneri DSM 14962 = CIP 107472 acMad-supercont1.1, whole genome shotgun sequence	15018	16819	13039	17485	17072	16083	14889	41548	14521	28533	31083	80	0	0	5810	14722	12280	12553	1998	3010	1340	1219	1237	2033	6685	6029	6505	1610	1899	1755	1998	0	0	2998	713	1054	696	531	484	4689	0	0
NZ_BCVK01000001.1 Lactococcus cremoris subsp. cremoris NBRC 100676, whole genome shotgun sequence	11261	11351	9185	12493	18825	16525	15515	9090	3736	6604	7416	0	0	0	544	311	0	0	789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	106	0	0	0
NZ_VZOT01000001.1 Comamonas kerstersii strain CCUG 15333 contig_0000001, whole genome shotgun sequence	16864	17998	14095	18710	19170	16873	16596	20680	8136	15322	17471	74	0	0	1289	1506	834	1110	0	0	0	0	0	0	421	334	354	0	0	0	0	0	0	0	0	0	0	0	423	1126	0	0
NZ_CP118969.1 Lactococcus lactis strain DSM 20481 chromosome, complete genome	10584	11068	9201	11506	18308	15772	15514	11568	4349	8036	8932	24	0	0	2059	944	702	974	1766	487	184	0	293	422	182	296	419	0	0	0	831	0	0	370	0	0	0	0	328	969	0	0
NZ_CP017181.1 Enterobacter kobei strain DSM 13645 chromosome, complete genome	15139	15236	12717	16555	16093	14677	14089	30641	11792	21068	23569	86	0	0	5053	59241	49361	50247	2944	1126	747	721	646	1252	765	717	838	734	741	906	1972	0	0	6647	1140	1141	1443	1515	608	448	0	0
NZ_AEZI02000028.1 Escherichia coli 1.2741 Contig1651129016, whole genome shotgun sequence	14200	15378	16244	14191	15931	14946	16378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_UYJA01000001.1 Pseudomonas bubulae strain Pseudomonas parafragi, whole genome shotgun sequence	12296	12496	9372	13523	14603	13319	12943	8128	2152	6903	6845	51	0	0	0	0	0	0	6115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_JAACKC010000010.1 Acinetobacter kanungonis strain PS-1 scaffold10_size167339, whole genome shotgun sequence	8427	8700	7122	9223	8762	7796	7246	3577	1133	1729	1851	0	0	0	911	1586	1247	1534	37117	2367	559	594	0	3462	0	0	0	762	745	746	0	0	0	2673	334	859	0	0	0	856	0	0
NZ_PUFH01000001.1 Leuconostoc citreum strain ATCC 49370 47, whole genome shotgun sequence	3975	4140	3646	4387	7164	6385	6190	4152	1347	3027	3239	23	0	0	1420	90	0	59	11757	180	0	0	0	0	660	546	466	288	305	476	421	0	0	0	0	0	515	156	508	983	0	0
NZ_QJKI01000001.1 Rivihabitans pingtungensis strain DSM 29661 Ga0244579_101, whole genome shotgun sequence	7535	7740	6063	8203	9076	8515	8390	11543	5034	8330	9561	27	0	0	5195	803	561	542	5199	13448	5985	2578	3342	12578	2532	2172	2268	7173	7632	7682	2756	0	0	1020	398	305	1147	2252	356	1192	0	0
DMYZ01000273.1 MAG TPA_asm: Prevotella sp. isolate UBA11202 contig_10138, whole genome shotgun sequence	4680	4624	3848	4991	7508	6371	6403	7035	2917	5177	5739	0	0	0	0	8194	4396	4560	0	32663	8302	6433	7658	10152	13015	11652	12406	50083	56039	55889	22689	51	0	452	205	289	131	111	117	20622	0	0
NZ_DBIN01000050.1 MAG: Acinetobacter sp. UBA801 UBA801_contig_1007, whole genome shotgun sequence	4457	4664	3995	4796	5681	5271	4964	8096	3953	6161	6573	0	0	0	3349	42881	32544	32752	708	1975	679	618	596	1221	2010	1871	1979	686	684	759	586	0	0	1633	0	334	0	0	0	1307	0	0
NZ_JAMCOU010000039.1 Acinetobacter amyesii strain ANC 5579 1, whole genome shotgun sequence	6117	6348	5386	6747	6422	5794	5652	13480	5744	9656	10655	0	0	0	6023	1908	1933	1602	3435	493	0	0	0	0	1140	1320	1257	678	777	715	0	0	0	1342	0	0	1046	851	878	761	0	0
JAGOHQ010000025.1 MAG: Aliarcobacter sp. isolate Gw_Bodden_bin_71 Gw_Bodden_10208_length_9663_cov_20.937605, whole genome shotgun sequence	2061	2033	2079	2145	2339	2152	2148	2229	2112	2181	2327	0	95	0	9728	7813	7131	6976	3869	3183	2380	838	704	4278	637	657	641	3594	3569	3426	5055	0	0	846	641	1003	4878	4481	543	1150	0	0
NZ_CP102267.1 Blautia wexlerae DSM 19850 chromosome, complete genome	8025	8288	7136	8930	12809	11333	11065	16496	6967	11664	12979	0	0	254	152429	195891	164555	162398	5114	13871	36523	28615	35449	18493	14183	13272	13868	8153	8629	8748	24024	68	0	4573	1679	2089	3250	1455	2254	20731	0	0
NC_009614.1 Phocaeicola vulgatus ATCC 8482, complete sequence	8751	8774	7490	9677	14063	12267	11817	11991	3144	8650	9417	34	0	180	124144	170412	141655	139800	1977	12664	4510	4119	4267	5209	2802	2474	2620	25122	27973	28587	4914	0	0	496	445	725	820	948	0	3453	0	0
OMVT01000087.1 uncultured Olsenella sp. isolate RUG014 genome assembly, contig: scaffold_44338, whole genome shotgun sequence	4024	4232	3291	4366	6515	5877	5667	4679	1592	3414	3889	0	0	0	769	5242	4289	4619	0	13961	6165	4414	5584	10396	74822	66132	71078	25710	29408	30603	99001	0	0	470	0	0	0	0	0	12947	0	0
NZ_CP017184.1 Enterobacter roggenkampii strain DSM 16690 chromosome, complete genome	7887	8284	6703	8482	9906	9236	8763	9560	2996	6948	7909	0	0	0	3858	2139	1628	1754	5138	1161	567	656	680	1425	938	649	875	623	454	693	996	0	0	3183	1012	0	1540	0	926	0	0	0
NZ_JABBJF010000001.1 Kluyvera sichuanensis strain 090646 contig00001, whole genome shotgun sequence	8759	9128	7186	9441	10175	9220	8736	0	0	0	0	0	0	0	2355	0	0	0	6190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1571	0	0	0	0	0	0	0	0
NZ_VZCN01000152.1 Segatella copri strain iAK278 NODE_100_length_10823_cov_4.92608_ID_291, whole genome shotgun sequence	5334	5687	4761	5993	8763	8092	7718	13520	5678	9449	10566	0	525	316	155222	418786	346241	349132	0	20309	11546	9530	10966	17462	7545	6993	7374	22683	24321	24657	18699	52	0	0	0	0	0	2802	0	2042	0	0
NZ_OU015319.1 Cloacibacterium caeni isolate Isolate1 chromosome 000000F_arrow	4021	1049	984	4446	4620	1224	1220	6093	1395	4744	5021	0	0	0	15136	3384	2900	3729	1778	6084	1861	1272	1448	1923	5587	1869	1702	12725	13626	13800	3463	0	0	0	1227	1221	2413	3563	861	3063	0	0
NZ_MKQS01000001.1 Acinetobacter towneri strain 5-2Ac02 Scaffold1.1_new, whole genome shotgun sequence	3975	3999	3875	4072	4412	4497	4429	5618	4529	5643	5316	0	0	0	3041	30780	25891	25666	1274	1648	0	0	732	1278	1643	1583	1566	875	1003	1015	1490	0	0	1434	0	0	0	0	0	2323	0	0
NZ_VZBE01000073.1 Segatella copri strain iAP1412 NODE_10_length_90835_cov_37.9181_ID_19, whole genome shotgun sequence	4433	4673	4175	4908	7121	6549	6273	10364	4922	7498	8342	0	0	0	85978	62936	21337	58088	22466	12458	2347	2117	2203	12488	5988	2307	2115	15216	16857	17051	16145	0	0	0	0	0	28552	2694	0	2110	0	0
NC_012781.1 Agathobacter rectalis ATCC 33656, complete sequence	4172	4353	3760	4643	6769	5898	5871	7971	2450	5802	6252	0	1118	428	600155	1123385	919953	930312	4945	15328	15455	13074	14803	41382	39710	35703	37466	24337	27438	27365	30043	84	0	9760	1765	1860	20982	1851	2422	22602	0	0
NZ_CP102263.1 Bacteroides uniformis strain ATCC 8492 chromosome, complete genome	5511	5447	4920	5951	9544	8405	8291	7608	2454	5543	6084	0	136	41	87268	53798	45155	45161	961	3129	4191	3789	4482	1603	931	867	944	9065	9993	9659	1826	0	0	732	675	0	0	738	0	1183	0	0
NZ_CP049015.1 Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681 strain ATCC 8090 chromosome, complete genome	5636	2210	2367	6200	6961	2625	2414	1948	1035	1581	1510	0	0	0	7278	6467	5181	5840	18728	866	454	0	406	896	555	479	570	780	782	708	716	0	0	3454	624	426	17322	5608	18716	0	0	0
NZ_JAAZQX010000010.1 Acinetobacter sp. A2 NODE_10_length_81027_cov_289.528400, whole genome shotgun sequence	3032	2973	0	3088	3391	3279	3271	5077	1032	4301	4374	0	0	0	0	2179	0	2203	0	0	0	0	0	0	0	0	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_LWRV01000001.1 Acinetobacter portensis strain AC 877 contig_1, whole genome shotgun sequence	3163	3171	2977	3465	3667	3090	3235	4412	1573	3401	3772	0	0	0	0	0	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZ_VFPV01000001.1 Acidovorax temperans strain DSM 7270 Ga0242573_11, whole genome shotgun sequence	5079	5103	4192	5554	7044	6649	6199	8569	2453	6418	7357	0	0	0	73315	18076	15809	16291	5509	31025	30678	21049	27554	27346	107089	93878	103439	21349	23510	24505	48943	77	0	3838	1251	771	3862	6428	1077	14870	0	0
NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	2021	2042	1757	2110	3158	2764	2713	3602	1153	2708	2789	0	0	0	68155	14431	11569	11951	629	1990	1529	1361	1359	4404	6295	5096	5557	1746	1739	1740	9565	0	0	1906	599	367	546	1225	324	3554	0	0
NZ_BBJR01000103.1 Comamonas aquatica NBRC 14918, whole genome shotgun sequence	4048	4130	3508	4347	4545	4456	4260	5350	1626	4153	4487	0	0	0	4852	2279	1636	1932	2390	884	633	0	614	1317	1306	1187	1201	1359	1389	1267	876	0	0	699	326	458	6709	15365	8362	1259	0	0
NZ_CDDD01000001.1 Aeromonas taiwanensis strain LMG 24683, whole genome shotgun sequence	4505	4473	4040	4736	5093	4822	4578	7236	2294	5536	6152	0	0	0	3290	2550	2338	2483	1494	1188	922	713	719	1102	478	613	643	647	0	706	0	0	0	0	0	0	0	0	0	473	0	0
NZ_SBIK01000001.1 Tepidiphilus succinatimandens strain DSM 15512 Scaffold1, whole genome shotgun sequence	2510	2498	2072	2664	3674	3412	3273	2674	909	1474	2322	0	0	0	0	753	413	423	0	6154	4642	2277	4098	8616	7616	6540	7004	4078	4088	4359	10092	17	0	1616	494	284	0	0	0	2487	0	0
NZ_LZDS01000001.1 Acinetobacter gandensis strain ANC 4275 Contig1, whole genome shotgun sequence	3322	3665	3194	3951	3628	3545	3513	5609	1539	4196	4532	0	0	0	22970	642	0	0	77128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0
NZ_CP034157.1 Cloacibacterium normanense strain NRS-1 chromosome, complete genome	2801	2961	3511	1171	1118	1052	3929	3668	1149	3427	3609	0	0	0	4165	3906	2677	2424	0	7433	1389	1729	1795	2149	8374	7750	7821	8593	9259	9444	11501	0	0	929	724	0	2714	2688	0	2398	0	0
NZ_CDBZ01000001.1 Aeromonas media strain CECT 4232, whole genome shotgun sequence	4423	4500	4025	4668	5020	4774	4647	2016	1186	1661	1781	0	0	0	5207	2681	2313	2551	2501	1112	865	632	648	1271	516	550	624	0	0	0	1310	0	0	0	0	0	0	0	0	0	0	0
SSEX01000098.1 MAG: Tolumonas sp. isolate Bin_11_1 c_000000000450, whole genome shotgun sequence	1783	1790	1071	1915	2184	1924	1831	1901	654	1046	1081	0	0	0	18592	7150	6371	6128	497	395	283	276	320	486	241	0	157	296	267	261	571	0	0	16364	170202	98646	779	812	298	901	21	148
NZ_NEFZ01000001.1 Acinetobacter sp. ANC 4204 Contig1, whole genome shotgun sequence	3720	3253	3469	3945	3656	3801	3543	4348	0	3984	4555	0	0	0	3503	14883	15148	17003	4713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2098	0	0	1810	1720	957	0	0	0
NZ_MVFY01000010.1 Citrobacter portucalensis strain A60 A60_S7_L001_NODE_10_length_199066_cov_22.3255, whole genome shotgun sequence	4617	6385	2384	5043	6180	7441	6973	10730	3084	7892	8601	0	0	0	2804	2269	2189	2610	15021	745	0	0	0	0	596	449	522	401	472	470	0	0	0	1650	0	381	16295	15976	19782	842	0	0
NZ_JGZT01000001.1 Bifidobacterium thermacidophilum subsp. thermacidophilum strain LMG 21395 Contig1, whole genome shotgun sequence	2042	2117	1239	2285	3286	3239	2953	3095	1235	2357	2425	0	0	0	1254	1456	1140	1347	0	15998	8155	5702	7315	23636	38000	33513	34647	14057	15538	16093	28350	9	0	7436	1308	1403	0	112	48	17329	0	0
DVNC01000041.1 MAG TPA_asm: Candidatus Scatocola faecipullorum isolate ChiW3-316 ChiW3__C100352_L24242_SRR5506726, whole genome shotgun sequence	1348	1097	888	1449	1832	1609	1280	967	440	620	687	0	0	0	366	492	545	449	0	328	202	122	145	246	0	64	64	169	175	274	0	0	0	851	144	0	0	0	0	0	0	0
NZ_DHOX01000049.1 MAG: Prevotella sp. UBA5379 UBA5379_contig_10115, whole genome shotgun sequence	1760	2118	1411	2253	3505	2971	2920	3147	998	1736	2064	0	0	0	0	2470	1950	2102	66	6775	1645	1396	1682	2997	6398	5715	6161	6479	7496	7156	5157	0	0	2087	248	298	0	0	0	7828	0	0
NZ_KB905472.1 Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain DSM 17679 aczJl-supercont1.1, whole genome shotgun sequence	2927	2563	2369	4054	5477	4900	4901	4883	1471	2527	2690	0	0	0	75907	47099	38626	39448	0	4326	4074	3938	4286	2690	926	863	998	4653	7510	7322	1726	0	0	0	0	0	0	0	0	0	0	0
SAUS01000023.1 MAG: Candidatus Cibiobacter qucibialis isolate SGB15286A NODE_1001_length_34658_cov_24.6781, whole genome shotgun sequence	1415	1676	1227	1406	2918	2856	2589	3068	1190	1623	2485	0	103	45	107280	41716	33023	35049	599	2047	2619	1928	2311	16805	9554	8282	9083	2584	3969	4107	8496	0	0	1727	636	504	4390	3301	2332	3594	0	0
NZ_DS499581.1 Alistipes putredinis DSM 17216 Scfld_02_11, whole genome shotgun sequence	1404	2081	1469	2226	2988	2552	2476	2759	986	1700	1687	0	119	31	79374	36976	30659	32006	813	1952	1575	1223	1445	1432	1491	1173	1378	13269	14478	14869	1174	0	0	77	0	0	0	79	0	445	0	0
NZ_CVRR01000001.1 Roseburia faecis strain M72, whole genome shotgun sequence	1784	2808	1738	2934	4371	3831	3712	4342	1486	2090	3373	0	500	205	198099	370541	303747	306987	4994	7201	9867	8076	9664	13317	14848	13572	14365	12052	13279	13809	14070	37	0	4396	1173	1378	2795	1277	1236	14142	0	0
CAAFAI010000001.1 MAG TPA_asm: Bacteroidaceae bacterium, isolate HGM04771, WGS project CAAFAI010000000 data, contig: SRS021948_34_k99_167, whole genome shotgun sequence	2185	0	0	3588	4669	4178	4073	3916	1305	0	0	0	135	0	62439	55053	54931	53884	0	0	3934	3284	3789	2251	826	869	827	0	7199	7409	1672	0	0	0	0	0	0	0	0	1156	0	0
NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome	2976	2843	2696	3024	6799	6000	5953	7550	3247	3654	6094	13	0	0	29349	42249	35618	36321	991	5659	4843	3980	4689	2270	0	0	0	2168	2398	2537	1852	0	0	0	0	0	0	963	0	2675	0	0
NZ_FUYF01000092.1 Gemmiger formicilis strain ATCC 27749, whole genome shotgun sequence	1662	1559	1441	2784	3729	3553	3406	4571	1624	3521	3950	0	116	0	44427	39105	34477	36185	1522	6956	146548	96742	132074	12727	15337	13082	14030	8206	8429	8566	6256	66	0	2106	950	1086	4494	3232	2484	5486	0	0
NZ_AGBX01000008.1 Brachybacterium squillarum M-6-3 50.WUPEI.1.00008, whole genome shotgun sequence	1560	1611	1395	1836	3493	3384	3229	3011	1063	1846	1884	0	0	0	615	160	0	339	298	682	416	275	508	3712	1204	1141	1114	0	0	189	686	0	0	604	184	177	0	0	0	312	0	0
NZ_LT906455.1 Aliarcobacter butzleri strain NCTC 12481 chromosome 1, complete sequence	1144	1112	1035	1123	1086	1161	1103	821	495	765	752	0	0	0	56450	1064	909	839	11398	621	349	0	0	881	0	0	0	674	644	691	0	0	0	45735	58033	89504	14883	21209	5824	797	13	0
NZ_JAJEQG010000010.1 Faecalibacterium longum CLA-AA-H243 NODE_10_length_77401_cov_21.251280, whole genome shotgun sequence	1429	1322	1308	1395	2926	1689	1722	1791	1096	1519	1521	0	0	0	36639	32126	28271	29217	1491	1789	2284	2084	2165	3188	8782	8306	8637	5339	6203	6288	11438	0	0	1377	176	0	3744	2055	1730	2987	0	0
FR893094.1 Alistipes sp. CAG:435 genomic scaffold, scf9, whole genome shotgun sequence	1394	1492	1361	1653	3034	2819	2684	2270	875	1493	1550	0	308	52	3787	238843	196958	203779	1582	8709	2306	1709	2181	2400	2176	1970	2132	2779	4783	4568	3513	0	0	293	0	0	0	327	0	533	0	0
NZ_JAFNME010000001.1 Comamonas denitrificans strain MM2021_4 T_1, whole genome shotgun sequence	1410	1288	1237	1442	1674	1608	1485	3065	996	1574	1566	0	0	0	14166	4870	4561	4305	1959	2537	5322	2527	4997	7082	8094	7290	8145	1482	1558	1855	4218	0	0	872	426	258	1691	1522	699	2841	0	0
BBDW01000001.1 [Ruminococcus] faecis JCM 15917 DNA, contig: JCM15917.contig00001, whole genome shotgun sequence	1526	1399	1441	1614	3580	3349	3113	4203	1481	1945	3402	0	0	139	56344	93235	75120	77660	3830	3209	21616	17950	20130	7951	11043	9754	10418	3327	5513	5626	6392	0	0	2784	1244	1468	5386	1940	1747	11575	0	0
NZ_JAQEGR010000001.1 Fusicatenibacter saccharivorans strain AM67-22ACA AM67-22ACA.Scaf1, whole genome shotgun sequence	1769	1889	1518	1904	4271	3789	3776	5285	1760	3928	4317	0	0	0	52581	37579	31601	32277	1157	7649	26959	20509	25223	13772	8880	7887	8048	2853	2802	2794	4745	0	0	1321	406	521	1746	857	670	4668	0	0
FR899776.1 Faecalibacterium sp. CAG:74 genomic scaffold, scf6, whole genome shotgun sequence	1328	1283	1241	1421	3253	3182	3000	2931	1033	1643	1487	0	0	0	2923	5021	4346	3992	99	565	478	341	526	738	5444	5011	5351	2199	2567	2705	2973	0	0	624	110	272	474	351	0	1087	0	0
NZ_ATZI01000001.1 Bacteroides graminisolvens DSM 19988 = JCM 15093 strain DSM 19988 C511DRAFT_scaffold00001.1_C, whole genome shotgun sequence	1627	1750	1364	1838	1784	1807	1824	5018	1521	3857	4026	0	137	0	66829	29023	23693	24098	4662	2093	596	506	638	815	480	296	382	1547	1759	1903	733	0	0	4729	14307	5197	10892	24632	2116	385	0	0
NZ_JNIR01000001.1 Exiguobacterium acetylicum DSM 20416 P401DRAFT_scf7180000000006_quiver.1_C, whole genome shotgun sequence	1455	1518	1223	1685	3199	2027	2551	1025	430	691	805	0	0	0	0	0	0	0	0	884	353	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALMKU010000001.1 MAG TPA_asm: uncultured Tolumonas sp. isolate SRR5676473_bin.100_CONCOCT_v1.1_MAG genome assembly, contig: ERZ724534.106811, whole genome shotgun sequence	1221	1194	1132	1272	2671	1449	1285	3778	1127	2889	2982	0	0	0	2769	2470	2454	2085	0	861	377	371	412	503	0	0	0	471	560	493	595	0	0	1585	8116	12256	907	732	0	0	0	0
NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence	2395	2660	2592	2726	6134	5357	2855	3189	1716	2492	2685	0	0	0	45290	5844	4941	5306	55541	9565	4788	3973	4360	29742	8896	5404	8471	3769	4592	4199	9001	0	0	5469	1039	1479	1599	1041	935	1776	0	0
NZ_PRLD01000040.1 Faecalibacterium prausnitzii strain APC923/51-1 NODE_109_length_3421_cov_1544.05, whole genome shotgun sequence	1285	1355	1296	1395	3441	3352	3070	3753	1354	1552	1597	0	0	0	145825	22043	19858	20631	1320	1574	1244	1197	1361	1921	10296	9220	9722	6137	6679	6792	4589	0	0	2229	0	0	0	0	0	2353	0	0
JAGPIX010000099.1 MAG: Alicycliphilus sp. isolate Gw_UH_bin_176 Gw_UH_10017_length_10969_cov_14.129496, whole genome shotgun sequence	1282	1275	971	1284	1422	1295	1278	1050	467	882	1003	0	0	0	1597	2219	1570	1974	458	2427	3426	2021	2941	1441	4715	3690	4517	1477	1605	1810	2102	0	0	801	120	159	0	0	0	882	0	0
NZ_NAEW01000098.1 Citrobacter braakii strain ATCC 51113 CbraakiiATCC_L001_NODE_100_length_562__17.0184, whole genome shotgun sequence	2346	2142	1938	2405	2664	2413	2418	3093	1386	2531	2720	0	0	0	5668	3464	2504	2754	7212	467	0	0	0	0	277	0	0	0	217	0	0	0	0	1124	0	0	4845	3522	2044	0	0	0
