Sample_file	count_reads_each_specie	Contig_name
barcode74.fastq.gz_11_2024	9102	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence
barcode74.fastq.gz_11_2024	17072	NZ_JAACKC010000010.1 Acinetobacter kanungonis strain PS-1 scaffold10_size167339, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	17556	NZ_ATZI01000001.1 Bacteroides graminisolvens DSM 19988 = JCM 15093 strain DSM 19988 C511DRAFT_scaffold00001.1_C, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	15000	NZ_VZBE01000073.1 Segatella copri strain iAP1412 NODE_10_length_90835_cov_37.9181_ID_19, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	13464	NZ_CVRR01000001.1 Roseburia faecis strain M72, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	19893	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
barcode74.fastq.gz_11_2024	9344	NZ_DS499581.1 Alistipes putredinis DSM 17216 Scfld_02_11, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	14748	NZ_CP023401.1 Elizabethkingia anophelis R26 chromosome, complete genome
barcode74.fastq.gz_11_2024	12418	DDFD01000002.1 MAG TPA_asm: Flavobacteriales bacterium UBA1937 UBA1937_contig_10561, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	8336	NZ_NNBY01000001.1 Ruminococcus bromii strain 5AMG contig000001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	9550	NZ_CP034157.1 Cloacibacterium normanense strain NRS-1 chromosome, complete genome
barcode74.fastq.gz_11_2024	6210	SSEX01000098.1 MAG: Tolumonas sp. isolate Bin_11_1 c_000000000450, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	8769	NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete sequence
barcode74.fastq.gz_11_2024	14920	NZ_VFPV01000001.1 Acidovorax temperans strain DSM 7270 Ga0242573_11, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	17496	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
barcode74.fastq.gz_11_2024	5894	NZ_BMBS01000001.1 Leuconostoc falkenbergense strain LMG 10779 contig1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	14153	NZ_BATI01000122.1 Pseudomonas alcaligenes NBRC 14159, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	11671	NZ_CP046654.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome
barcode74.fastq.gz_11_2024	5067	NZ_AZCR01000001.1 Lactobacillus delbrueckii subsp. delbrueckii DSM 20074 = JCM 1012 strain DSM 20074 Scaffold1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6668	NZ_SBIK01000001.1 Tepidiphilus succinatimandens strain DSM 15512 Scaffold1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	7576	NZ_OU015321.1 Cloacibacterium caeni isolate Isolate2 chromosome 1
barcode74.fastq.gz_11_2024	3278	JAGOHQ010000025.1 MAG: Aliarcobacter sp. isolate Gw_Bodden_bin_71 Gw_Bodden_10208_length_9663_cov_20.937605, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	12885	NZ_CP102267.1 Blautia wexlerae DSM 19850 chromosome, complete genome
barcode74.fastq.gz_11_2024	7152	FR901639.1 Prevotella sp. CAG:891 genomic scaffold, scf21, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4196	UQJU01000001.1 uncultured Spirochaetes bacterium isolate UMGS352 genome assembly, contig: NODE_49_length_87547_cov_3.512413, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	11076	QSCI01000001.1 Segatella copri strain OF03-3 OF03-3.Scaf1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6530	OMVT01000087.1 uncultured Olsenella sp. isolate RUG014 genome assembly, contig: scaffold_44338, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4986	CAAFEX010000001.1 MAG TPA_asm: uncultured Collinsella sp., isolate HGM04134, WGS project CAAFEX010000000 data, contig: SRS1170693_53_k141_1798, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6056	NZ_QLTS01000001.1 Phascolarctobacterium faecium DSM 14760 Ga0215641_101, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6073	NZ_LT906455.1 Aliarcobacter butzleri strain NCTC 12481 chromosome 1, complete sequence
barcode74.fastq.gz_11_2024	5010	USQD01000001.1 uncultured Prevotella sp. isolate UMGS1972 genome assembly, contig: NODE_768_length_24810_cov_19.176404, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	9193	NZ_QJKI01000001.1 Rivihabitans pingtungensis strain DSM 29661 Ga0244579_101, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	9391	NZ_JAPDUQ010000001.1 Segatella copri strain N016-9 1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6873	NZ_PTPZ01000010.1 Cloacibacterium normanense strain IMET F NODE_10_length_77584_cov_176.949734, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6634	CADABC010000001.1 MAG: uncultured Lachnospiraceae bacterium isolate RUG13138 genome assembly, contig: RUG13138_asm_1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	7882	NZ_JAMCOU010000039.1 Acinetobacter amyesii strain ANC 5579 1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3241	FR888013.1 Clostridium sp. CAG:343 genomic scaffold, scf4, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	8628	NZ_VZCB01000029.1 Segatella copri strain iA622 NODE_100_length_1441_cov_373.887_ID_199, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4542	JALCNL010000001.1 MAG: Megasphaera sp. isolate UW_MP_MEG2_1 Ga0455786_00149, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6590	NZ_CP028561.1 Acinetobacter sp. WCHA45 chromosome, complete genome
barcode74.fastq.gz_11_2024	4926	NZ_JACRWH010000001.1 Holdemanella hominis strain L34 G9_D3_34_ctg0001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5097	NZ_DBIN01000050.1 MAG: Acinetobacter sp. UBA801 UBA801_contig_1007, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	13669	NZ_CP026124.1 Achromobacter sp. AONIH1 chromosome, complete genome
barcode74.fastq.gz_11_2024	3900	CATXJC010000001.1 MAG TPA_asm: uncultured Prevotella sp. isolate SRR17382079_bin.3_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18707905.24, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5884	NZ_MKQS01000001.1 Acinetobacter towneri strain 5-2Ac02 Scaffold1.1_new, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5884	NZ_JAAGKM010000010.1 Empedobacter falsenii strain Q1655 NODE_10_length_80301_cov_23.478197, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	7246	NZ_KB849785.1 Acinetobacter pittii ATCC 19004 = CIP 70.29 acLZE-supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5709	NZ_PXUP01000075.1 Faecalibacterium prausnitzii strain ATCC 27768 NODE_100_length_572_cov_365.695, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5615	NZ_JAFNME010000001.1 Comamonas denitrificans strain MM2021_4 T_1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3941	CAAFGG010000001.1 MAG TPA_asm: uncultured Collinsella sp., isolate HGM04203, WGS project CAAFGG010000000 data, contig: SRS1170850_15_k141_614, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6853	NZ_JAHOEA010000100.1 Segatella copri strain MSK.21.95 NODE_100_length_5714_cov_292.601, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5716	BBDW01000001.1 [Ruminococcus] faecis JCM 15917 DNA, contig: JCM15917.contig00001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4415	SAUS01000023.1 MAG: Candidatus Cibiobacter qucibialis isolate SGB15286A NODE_1001_length_34658_cov_24.6781, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3621	NZ_CP032823.1 Aliarcobacter cryaerophilus ATCC 43158 chromosome, complete genome
barcode74.fastq.gz_11_2024	5501	NZ_FUYF01000092.1 Gemmiger formicilis strain ATCC 27749, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6611	NMPZ01000001.1 Segatella copri strain Indica contig00001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3409	NC_008618.1 Bifidobacterium adolescentis ATCC 15703, complete sequence
barcode74.fastq.gz_11_2024	3493	HE613569.1 Streptococcus macedonicus ACA-DC 198 main chromosome complete genome
barcode74.fastq.gz_11_2024	3113	FR878548.1 Collinsella sp. CAG:166 genomic scaffold, scf5, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3255	NZ_FOPI01000055.1 Ligilactobacillus ruminis DSM 20403 = NBRC 102161 strain DSM 20403, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	7377	NZ_CP102263.1 Bacteroides uniformis strain ATCC 8492 chromosome, complete genome
barcode74.fastq.gz_11_2024	4162	NZ_JAAZQX010000010.1 Acinetobacter sp. A2 NODE_10_length_81027_cov_289.528400, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4690	NZ_CP048437.1 Faecalibacterium duncaniae strain JCM 31915 chromosome, complete genome
barcode74.fastq.gz_11_2024	6395	NZ_CDDD01000001.1 Aeromonas taiwanensis strain LMG 24683, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	7138	NC_008570.1 Aeromonas hydrophila subsp. hydrophila ATCC 7966, complete sequence
barcode74.fastq.gz_11_2024	5901	NZ_CP032286.1 Acinetobacter sp. WCHA55 chromosome, complete genome
barcode74.fastq.gz_11_2024	3019	UQWV01000001.1 uncultured Collinsella sp. isolate UMGS716 genome assembly, contig: NODE_120_length_98968_cov_4.764458, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5756	NZ_JAHBBW010000001.1 Bacteroides propionicigenes strain NSJ-90 NSJ-90_ctg001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4364	NZ_CP094466.1 Faecalibacterium sp. I4-3-84 chromosome, complete genome
barcode74.fastq.gz_11_2024	4452	NZ_CP102279.1 Dorea formicigenerans strain ATCC 27755 chromosome, complete genome
barcode74.fastq.gz_11_2024	2743	NZ_CAUEQY010000001.1 MAG: uncultured Bifidobacterium sp. isolate ERR10149223_bin.5_MetaWRAP_v1.3_MAG ERZ19076452.18, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5165	NZ_CP035934.2 Acinetobacter cumulans strain WCHAc060092 chromosome, complete genome
barcode74.fastq.gz_11_2024	4095	NZ_WKRD01000010.1 Lachnospira eligens strain BIOML-A1 scaffold10_size99411, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	6500	NC_009615.1 Parabacteroides distasonis ATCC 8503, complete sequence
barcode74.fastq.gz_11_2024	3386	NZ_CP118969.1 Lactococcus lactis strain DSM 20481 chromosome, complete genome
barcode74.fastq.gz_11_2024	3214	CAAFQR010000001.1 MAG TPA_asm: Veillonellaceae bacterium, isolate HGM14191, WGS project CAAFQR010000000 data, contig: SRS294823_8_k89_25, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5205	NZ_ACFY01000179.1 Roseburia inulinivorans DSM 16841 R_inulinivorans-1.0.1_Cont604.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3093	NZ_JACOPS010000001.1 Ruminococcus intestinalis strain NSJ-71 M23_ctg001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3732	NZ_JAJEQG010000010.1 Faecalibacterium longum CLA-AA-H243 NODE_10_length_77401_cov_21.251280, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2730	JAGPMW010000024.1 MAG: Selenomonas sp. isolate Gw_UH_bin_41 Gw_UH_1000_length_31867_cov_8.188847, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5578	NZ_CDBZ01000001.1 Aeromonas media strain CECT 4232, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3719	JAGPIX010000099.1 MAG: Alicycliphilus sp. isolate Gw_UH_bin_176 Gw_UH_10017_length_10969_cov_14.129496, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2276	HF993111.1 Eubacterium sp. CAG:180 genomic scaffold, scf4, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3073	NZ_CP048627.1 Megamonas funiformis strain JCM 14723 chromosome, complete genome
barcode74.fastq.gz_11_2024	2495	CAAFRM010000001.1 MAG TPA_asm: uncultured Prevotella sp., isolate HGM04955, WGS project CAAFRM010000000 data, contig: SRS294916_12_k89_47, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3614	NZ_VFPS01000001.1 Microbacterium lacticum strain DSM 20427 Ga0264346_11, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	5111	NZ_CP102286.1 Parabacteroides merdae ATCC 43184 chromosome, complete genome
barcode74.fastq.gz_11_2024	3234	NZ_PYLQ01000001.1 Faecalibacillus intestinalis strain SNUG30099 scaffold_0, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4236	NZ_NEFZ01000001.1 Acinetobacter sp. ANC 4204 Contig1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1493	DVOM01000014.1 MAG TPA_asm: Candidatus Scatocola faecigallinarum isolate 2846 CHK22__C100522_L11351_ERR2241687, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2061	NZ_JH815513.1 Sutterella wadsworthensis 2_1_59BFAA supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2007	JAGOFG010000101.1 MAG: Flavobacterium sp. isolate Go_SlPrim_bin_58 Go_SlPrim_10026_length_8557_cov_32.353144, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1479	NZ_UQKJ01000001.1 Uncultured Dialister sp. isolate UMGS370, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2602	NZ_QTYB01000001.1 Ruminococcus sp. AM36-2AA AM36-2AA.Scaf1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1688	NZ_GL622241.1 Enterococcus italicus DSM 15952 SCAFFOLD1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2273	NZ_JACHGR010000001.1 Tolumonas osonensis strain DSM 22975 Ga0310461_01, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1297	NZ_GG698602.1 Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	4374	NZ_CP012938.1 Bacteroides ovatus strain ATCC 8483 chromosome, complete genome
barcode74.fastq.gz_11_2024	2767	CAAFAI010000001.1 MAG TPA_asm: Bacteroidaceae bacterium, isolate HGM04771, WGS project CAAFAI010000000 data, contig: SRS021948_34_k99_167, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1553	NZ_AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 strain JCM 1200 chromosome, complete genome
barcode74.fastq.gz_11_2024	1721	NZ_JACRWG010000001.1 Catenibacterium faecis strain NSJ-22 N16_ctg001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1207	QUIQ01000001.1 Firmicutes bacterium AM41-11 AM41-11.Scaf1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3070	NZ_KB905472.1 Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain DSM 17679 aczJl-supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1402	SFEL01000007.1 MAG: Clostridiales bacterium isolate W0P31.004 Contig100, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2296	NZ_KB849710.1 Acinetobacter ursingii DSM 16037 = CIP 107286 acLZr-supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2441	NZ_JAQEGR010000001.1 Fusicatenibacter saccharivorans strain AM67-22ACA AM67-22ACA.Scaf1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1852	NZ_FNHQ01000075.1 Megasphaera paucivorans strain DSM 16981, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2374	NZ_CP032134.1 Acinetobacter chinensis strain WCHAc010005 chromosome, complete genome
barcode74.fastq.gz_11_2024	2101	JAJEPY010000100.1 Oscillospiraceae bacterium CLA-AA-H269 NODE_100_length_8506_cov_27.135485, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2474	NZ_QSQT01000001.1 Phocaeicola plebeius strain TF10-3AC TF10-3AC.Scaf1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	682	FR889066.1 Clostridium sp. CAG:508 genomic scaffold, scf5, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2212	JAFBJP010000100.1 Prevotella hominis strain An935 An935_NODE_100_length_339_cov_28.390977_pilon, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1560	HF990512.1 Firmicutes bacterium CAG:124 genomic scaffold, scf7, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2787	NZ_CP022412.2 Bacteroides caccae strain ATCC 43185 chromosome, complete genome
barcode74.fastq.gz_11_2024	1082	JAEZRD010000089.1 MAG: Euryarchaeota archaeon isolate OH_PBB_124 k127_1001585, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1788	NZ_JAOQJZ010000001.1 Hominimerdicola aceti strain Sanger_31 .14207_7_17.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2464	NZ_JAOQJO010000001.1 Brotolimicola acetigignens strain f_CXY .18048_1_81.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2242	NZ_BBJR01000103.1 Comamonas aquatica NBRC 14918, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1751	CP107211.1 MAG: Oscillospiraceae bacterium isolate KR001_HAM_0066 chromosome, complete genome
barcode74.fastq.gz_11_2024	948	FR881491.1 Firmicutes bacterium CAG:176 genomic scaffold, scf4, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1610	NZ_JAHLPT010000001.1 Oscillibacter sp. MSJ-31 M31_ctg0001, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2175	NZ_CP102265.1 Blautia obeum ATCC 29174 chromosome, complete genome
barcode74.fastq.gz_11_2024	2303	NZ_JACCCY010000001.1 Macellibacteroides fermentans strain DSM 23697 Ga0376912_01, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1540	NZ_SLXE01000001.1 Uruburuella suis strain DSM 17474 Ga0310504_101, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1166	SAAC01000199.1 MAG: Negativicutes bacterium isolate INTA.CYC.021 contig-100_100370, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1610	DCZG01000005.1 MAG TPA_asm: Atopobium sp. UBA2090 UBA2090_contig_1016, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1661	NZ_CP102280.1 Dorea longicatena strain DSM 13814 chromosome, complete genome
barcode74.fastq.gz_11_2024	1953	JAIJUV010000437.1 MAG: Prevotella sp. isolate Map_88_002 contig_100_10053, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1640	FR893094.1 Alistipes sp. CAG:435 genomic scaffold, scf9, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1825	NZ_CP094467.1 Faecalibacterium sp. I4-1-79 chromosome, complete genome
barcode74.fastq.gz_11_2024	1741	NZ_FMYO01000020.1 Acinetobacter kookii strain ANC 4667, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	746	MNTB01000024.1 MAG: Firmicutes bacterium CAG:321_26_22 Ley3_66761_scaffold_10242, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1644	JAKVOG010000001.1 MAG: Selenomonas sp. isolate UW_MP_SELEN1_1 Ga0455831_010, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3510	NZ_LN831024.1 Pseudomonas aeruginosa strain NCTC10332 chromosome 1, complete sequence
barcode74.fastq.gz_11_2024	2723	NZ_CP017181.1 Enterobacter kobei strain DSM 13645 chromosome, complete genome
barcode74.fastq.gz_11_2024	2955	NZ_VTUS01000008.1 Serratia nevei strain S15 NODE_10_length_142733_cov_62.796157, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	3016	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	2010	NZ_JAKUKO010000010.1 Acinetobacter pittii strain 18052 Scaffold10_1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1496	NZ_CP102250.1 Alistipes indistinctus YIT 12060 chromosome, complete genome
barcode74.fastq.gz_11_2024	1146	FR879452.1 Dialister sp. CAG:486 genomic scaffold, scf10, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1244	NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence
barcode74.fastq.gz_11_2024	2377	NZ_CP031167.1 Stenotrophomonas sp. ASS1 chromosome, complete genome
barcode74.fastq.gz_11_2024	1311	NZ_JAIWOF010000001.1 MAG: Flavobacterium sp. isolate W57 contig-93_1.0, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1543	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1452	FONU01000049.1 Lactobacillus rogosae strain ATCC 27753 genome assembly, contig: Ga0052885_scaffold00047.47, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1126	NZ_AP012323.1 Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 strain JCM 1255 chromosome, complete genome
barcode74.fastq.gz_11_2024	968	CAUBTS010000001.1 MAG TPA_asm: uncultured Collinsella sp. isolate ERR9354184_bin.20_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18534415.538, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1479	NZ_KB849207.1 Acinetobacter parvus DSM 16617 = CIP 108168 acLZw-supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	722	NZ_KB899040.1 Coprothermobacter platensis DSM 11748 D890DRAFT_scaffold00001.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1593	NZ_JMLU01000001.1 Flavobacterium sasangense DSM 21067 BP92DRAFT_scaffold00001.1_C, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1607	NZ_PYLO01000001.1 Clostridium fessum strain SNUG30386 scaffold_0, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1482	NZ_PRLD01000040.1 Faecalibacterium prausnitzii strain APC923/51-1 NODE_109_length_3421_cov_1544.05, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1859	NZ_CP102253.1 Alistipes shahii WAL 8301 chromosome, complete genome
barcode74.fastq.gz_11_2024	1227	DXEE01000046.1 MAG TPA_asm: Candidatus Alistipes avistercoris isolate 653 CHK112__C100628_L7646_SAMEA104467363, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1960	NZ_QTWS01000001.1 Blautia sp. AF19-10LB AF19-10LB.Scaf1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1580	NZ_JAMXLY010000100.1 Prevotella cerevisiae strain DSM 100619 SEQUENCE100, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1957	NZ_JAHRGI010000001.1 Segatella copri strain HDE06 HDE06_1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	575	FR878190.1 Clostridium sp. CAG:492 genomic scaffold, scf2, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	860	URAD01000001.1 uncultured Collinsella sp. isolate UMGS806 genome assembly, contig: NODE_5_length_128693_cov_19.225027, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1462	NZ_JAJEQM010000010.1 Hominilimicola fabiformis strain CLA-AA-H232 NODE_10_length_105690_cov_43.690493, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	1869	NZ_CP031716.1 Acinetobacter wuhouensis strain WCHA60 chromosome, complete genome
barcode74.fastq.gz_11_2024	1314	NZ_CP094468.1 Faecalibacterium sp. I3-3-89 chromosome, complete genome
